기지국명,NE_ID,VLAN_ID,IP,GW,RS_IP,DU TYPE,CH_0,CH_1,CH_2
SLB_W광주농성뱅크A0,16611,1019,10.111.4.160,10.111.4.129,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주농성뱅크A1,16612,1019,10.111.4.168,10.111.4.129,10.113.225.8,DU25,850M,2.6G,
SLB_W광주농성뱅크A2,16613,1019,10.111.4.176,10.111.4.129,10.113.225.8,DU25,850M,2.6G,
SLB_W광주농성뱅크A3,16614,1055,10.111.13.136,10.111.13.129,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주농성뱅크A4,16615,1055,10.111.13.144,10.111.13.129,10.113.225.8,DU25,850M,2.6G,
SLB_W광주농성뱅크A6,16617,1055,10.111.13.160,10.111.13.129,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주광천터미널A0,16618,1018,10.111.4.72,10.111.4.65,10.113.225.8,DU25,850M,2.6G,2.1G
SL_W광주광천터미널A1,16619,1018,10.111.4.80,10.111.4.65,10.113.225.8,DU25,850M,2.6G,2.1G
SLB_W광주운암뱅크A0,33068,1023,10.110.5.136,10.110.5.129,10.113.227.8,DU25,850M,2.6G,
SLB_W광주운암뱅크A1,33069,1023,10.110.5.144,10.110.5.129,10.113.227.8,DU25,850M,2.6G,
SLB_W광주운암뱅크A2,33070,1023,10.110.5.152,10.110.5.129,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주운암뱅크A3,33071,1023,10.110.5.160,10.110.5.129,10.113.227.8,DU25,850M,2.6G,
SLB_W광주운암뱅크A4,33072,1039,10.110.9.136,10.110.9.129,10.113.227.8,DU25,850M,2.6G,
SLB_W광주운암뱅크A5,33073,1039,10.110.9.144,10.110.9.129,10.113.227.8,DU25,850M,2.6G,
SLB_W광주첨단뱅크B0,33074,1042,10.110.10.72,10.110.10.65,10.113.227.8,DU25,850M,2.6G,2.1G
SL_M광주광산ICA0,33075,1013,10.111.3.32,10.111.3.1,10.113.227.8,DU25,850M,2.6G,
SL_M광주광산ICA1,33076,1013,10.111.3.40,10.111.3.1,10.113.227.8,DU25,850M,2.6G,2.1G
SL_M광주광산ICB0,33077,1013,10.111.3.48,10.111.3.1,10.113.227.8,DU25,850M,2.6G,
SL_W광주수완호수A0,33078,1027,10.111.6.160,10.111.6.129,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주수완호수A1,33079,1027,10.111.6.168,10.111.6.129,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주신창동림ICA0,33081,1029,10.111.7.24,10.111.7.1,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주신창동림ICA1,33082,1029,10.111.7.32,10.111.7.1,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주남부대A0,33083,1012,10.111.2.224,10.111.2.193,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주남부대A1,33084,1012,10.111.2.232,10.111.2.193,10.113.227.8,DU25,850M,2.6G,2.1G
SL_M광주도덕삼도RC0,33088,2197,33.6.49.8,33.6.49.1,10.113.227.8,DU30A,850M,2.6G,
SL_M광주도덕삼도RC1,33089,2197,33.6.49.16,33.6.49.1,10.113.227.8,DU30A,850M,2.6G,2.1G
SL_M광주산막RC0,33091,2198,33.6.49.72,33.6.49.65,10.113.227.8,DU30A,850M,2.6G,
SL_M광주산막RC1,33092,2198,33.6.49.80,33.6.49.65,10.113.227.8,DU30A,850M,2.6G,
SL_M광주산막RD0,33093,2198,33.6.49.88,33.6.49.65,10.113.227.8,DU30A,850M,2.6G,
SL_W광주소촌모아A0,33095,1025,10.111.6.32,10.111.6.1,10.113.227.8,DU25,850M,2.6G,
SL_W광주소촌모아A1,33096,1025,10.111.6.40,10.111.6.1,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주평동산단A0,33097,1006,10.111.1.88,10.111.1.65,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주평동산단A1,33098,1006,10.111.1.96,10.111.1.65,10.113.227.8,DU25,850M,2.6G,
SL_W광주평동산단B0,33099,1006,10.111.1.104,10.111.1.65,10.113.227.8,DU25,850M,2.6G,
SL_M광주송학RC0,33100,2199,33.6.49.136,33.6.49.129,10.113.227.8,DU30A,850M,2.6G,
SL_M광주송학RC1,33101,2199,33.6.49.144,33.6.49.129,10.113.227.8,DU30A,850M,2.6G,
SL_M광주송학RB1,33102,2199,33.6.49.152,33.6.49.129,10.113.227.8,DU30A,850M,,
SL_W광주어등하이빌A0,33103,1032,10.111.7.224,10.111.7.193,10.113.227.8,DU25,850M,2.6G,
SL_W광주어등하이빌A1,33104,1032,10.111.7.232,10.111.7.193,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주운남금구초A0,33105,1033,10.111.8.32,10.111.8.1,10.113.227.8,DU25,850M,2.6G,
SL_W광주운남금구초A1,33106,1033,10.111.8.40,10.111.8.1,10.113.227.8,DU25,850M,2.6G,
SL_W광주장덕메트로A0,33110,1028,10.111.6.234,10.111.6.193,10.113.227.8,DU25,850M,2.6G,
SL_W광주장덕메트로A1,33111,1028,10.111.6.242,10.111.6.193,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주장덕메트로B0,33113,1028,10.111.6.232,10.111.6.193,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주장덕메트로B1,33114,1028,10.111.6.240,10.111.6.193,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주첨단빌딩B0,33115,1011,10.111.2.152,10.111.2.129,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주첨단빌딩B1,33117,1011,10.111.2.168,10.111.2.129,10.113.227.8,DU25,850M,2.6G,2.1G
SLN_W광주첨단빌딩A0,33118,1011,10.111.2.136,10.111.2.129,10.113.227.8,DU25,850M,2.6G,
SL_W광주쌍암공원B1,33120,1014,10.111.3.112,10.111.3.65,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주쌍암공원B0,33121,1014,10.111.3.96,10.111.3.65,10.113.227.8,DU25,850M,2.6G,2.1G
SLN_W광주쌍암공원A0,33122,1014,10.111.3.72,10.111.3.65,10.113.227.8,DU25,850M,2.6G,
SL_M광주평동역RD0,33125,2200,33.6.49.200,33.6.49.193,10.113.227.8,DU30A,850M,2.6G,
SL_M광주평동역RD1,33128,2200,33.6.49.208,33.6.49.193,10.113.227.8,DU30A,850M,2.6G,
SLB_W광주송정뱅크B2,33130,1050,10.111.12.72,10.111.12.65,10.113.227.8,DU25,850M,2.6G,
SLB_W광주송정뱅크B3,33131,1050,10.111.12.80,10.111.12.65,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주송정뱅크A0,33134,1050,10.111.12.96,10.111.12.65,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주송정뱅크A1,33135,1026,10.111.6.104,10.111.6.65,10.113.227.8,DU25,850M,2.6G,
SLB_W광주송정뱅크A2,33136,1026,10.111.6.112,10.111.6.65,10.113.227.8,DU25,850M,2.6G,
SLB_W광주송정뱅크A3,33137,1026,10.111.6.80,10.111.6.65,10.113.227.8,DU25,850M,2.6G,
SLB_W광주송정뱅크A4,33138,1050,10.111.12.104,10.111.12.65,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주송정뱅크A5,33139,1026,10.111.6.88,10.111.6.65,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주송정뱅크A6,33140,1026,10.111.6.96,10.111.6.65,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주신가뱅크B3,33141,1030,10.111.7.106,10.111.7.65,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주신가뱅크B0,33143,1051,10.111.12.152,10.111.12.129,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주신가뱅크B1,33144,1030,10.111.7.108,10.111.7.65,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주신가뱅크B2,33145,1051,10.111.12.160,10.111.12.129,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주신가뱅크B4,33146,1051,10.111.12.168,10.111.12.129,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주신가뱅크B5,33147,1056,10.111.13.200,10.111.13.193,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주신가뱅크A0,33148,1056,10.111.13.208,10.111.13.193,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주신가뱅크A1,33149,1056,10.111.13.216,10.111.13.193,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주신가뱅크A2,33150,1056,10.111.13.224,10.111.13.193,10.113.227.8,DU25,850M,2.6G,
SLB_W광주신가뱅크A3,33151,1056,10.111.13.232,10.111.13.193,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주신가뱅크A4,33152,1056,10.111.13.240,10.111.13.193,10.113.227.8,DU25,850M,2.6G,2.1G
SL_W광주우산국사1A0,33154,1036,10.111.8.234,10.111.8.193,10.113.227.8,DU25,850M,2.6G,2.1G
SLB_W광주우산국사2B0,33155,1036,10.111.8.232,10.111.8.193,10.113.227.8,DU25,850M,2.6G,2.1G
